timestamp,Active_Power,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation
2018/2/2 1:30,0,2.484901667,0.935085177
2018/2/2 1:45,0,2.100302696,0.626016954
2018/2/2 2:00,0,1.991985162,0.589029968
2018/2/2 2:15,0,2.225996891,0.704659263
2018/2/2 2:30,0,2.112014771,0.669482668
2018/2/2 2:45,0,2.270134171,0.79424272
2018/2/2 3:00,0,2.494447947,1.015955031
2018/2/2 3:15,0,2.41481479,0.933036546
2018/2/2 3:30,0,2.015322725,0.598611375
2018/2/2 3:45,0,3.06680425,1.557519754
2018/2/2 4:00,0,2.923090537,1.420956294
2018/2/2 4:15,0,2.192125956,0.706127286
2018/2/2 4:30,0,2.053651571,0.626862407
2018/2/2 4:45,0,2.966020028,1.524131537
2018/2/2 5:00,0,2.528293133,1.001452128
2018/2/2 5:15,0,2.257284244,0.777490834
2018/2/2 5:30,0,2.125756184,0.621122599
2018/2/2 5:45,0,2.60755523,1.056655447
2018/2/2 6:00,0,3.201225678,1.705109119
2018/2/2 6:15,0,7.851641815,5.944465478
2018/2/2 6:30,0.068444441,23.32278124,20.77150663
2018/2/2 6:45,0.163288894,44.05751038,40.04663976
2018/2/2 7:00,0.299844474,64.63642756,58.49811172
2018/2/2 7:15,0.383088867,82.07892355,75.43325043
2018/2/2 7:30,0.414266616,87.20336151,76.15075175
2018/2/2 7:45,0.572222193,128.6459045,81.73104858
2018/2/2 8:00,0.766555528,150.5988922,67.04289881
2018/2/2 8:15,1.9002889,420.9602051,56.88359833
2018/2/2 8:30,2.203711112,477.7303975,53.82967631
2018/2/2 8:45,2.513133367,531.6571655,55.16504797
2018/2/2 9:00,2.819000006,585.6448975,56.68605423
2018/2/2 9:15,3.112977743,645.4612223,64.04280853
2018/2/2 9:30,3.37148873,701.2365112,69.01079305
2018/2/2 9:45,3.614488999,756.1960449,74.933815
2018/2/2 10:00,3.819911003,807.4225261,81.83930206
2018/2/2 10:15,4.016911109,856.5903931,91.43093618
2018/2/2 10:30,4.187089126,904.5624797,97.22898356
2018/2/2 10:45,4.321466764,944.5533244,99.7194392
2018/2/2 11:00,4.432377816,982.8868205,105.4726079
2018/2/2 11:15,4.538555781,1014.318624,107.0474243
2018/2/2 11:30,4.595377922,1041.933797,110.297582
2018/2/2 11:45,4.652622223,1060.993001,113.5826518
2018/2/2 12:00,4.732710997,1072.809855,106.7128372
2018/2/2 12:15,4.717755158,1078.663167,97.67207336
2018/2/2 12:30,4.754000028,1089.970907,97.75581361
2018/2/2 12:45,4.743488789,1086.059041,92.5886027
2018/2/2 13:00,4.7249554,1089.598226,92.90670522
2018/2/2 13:15,4.747933547,1089.733887,107.3461507
2018/2/2 13:30,4.95755593,1111.738607,138.9469731
2018/2/2 13:45,4.474044243,1123.540731,173.9684601
2018/2/2 14:00,4.734422366,1095.533895,162.7536977
2018/2/2 14:15,4.80280002,1052.07664,181.1744995
2018/2/2 14:30,2.874266863,736.4944254,315.0065714
2018/2/2 14:45,2.985266526,545.7402039,267.9463704
2018/2/2 15:00,4.117755572,747.9155273,266.0264893
2018/2/2 15:15,3.932666779,849.8688152,226.5824534
2018/2/2 15:30,1.721955657,444.9671173,261.3558095
2018/2/2 15:45,2.233155648,388.0039164,182.2456564
2018/2/2 16:00,3.930955649,791.8131714,233.2098338
2018/2/2 16:15,1.6901112,406.8732605,219.7636922
2018/2/2 16:30,1.94762218,396.0632324,141.4145864
2018/2/2 16:45,1.846511125,323.6071167,120.8076884
2018/2/2 17:00,1.509288828,331.2074483,101.4794184
2018/2/2 17:15,1.618911107,315.7121684,134.4157003
2018/2/2 17:30,1.954444488,419.4934794,183.3642782
2018/2/2 17:45,0.860955536,224.4380697,148.9987208
2018/2/2 18:00,0.230266661,69.80595906,65.49815496
2018/2/2 18:15,0.105022205,36.61541112,34.74807739
2018/2/2 18:30,0.012422219,14.48845768,12.76347605
2018/2/2 18:45,0,25.85930125,23.62423515
2018/2/2 19:00,0,12.16726557,10.40402778
2018/2/2 19:15,0,3.571724097,2.060240149
